# 16/44100, 16/44100

# https://osu.ppy.sh/beatmapsets/2409120#osu/5286857
-20.65 143.24
-15.32 157.99
-15.70 147.98
-13.36 128.34
-14.25 137.23
-16.49 148.86
-15.97 138.45
-15.32 174.15
-15.64 194.44 
-17.14 202.61
-9.28 153.92
-2.99 237.54
-10.74 176.06
-9.66 178.96
-15.62 166.54
-12.49 223.26
-16.00 161.16
-17.11 162.14
-16.40 183.16
-25.01 211.06
-24.76 150.67
-17.14 160.69
-23.83 152.03
-27.81 150.36
-24.62 182.46
# https://osu.ppy.sh/beatmapsets/779226#osu/1636409
-20.74 263.63
# https://osu.ppy.sh/beatmapsets/2208532#osu/4676949
-20.41 190.48
# https://osu.ppy.sh/beatmapsets/2371550#osu/5129678
-23.93 167.59
